,tokens
3136,"['right', 'think']"
3137,"['wat', 'r', 'u']"
3138,"['ur', 'lectur']"
3139,"['sexi', 'sexi', 'cum', 'text', 'im', 'wet', 'warm', 'readi', 'porn', 'u', 'fun', 'msg', 'free', 'recd', 'msg', 'inc', 'vat', 'cancel', 'text', 'stop']"
3140,"['custom', 'place', 'call']"
3141,"['plan', 'yet', 'go', 'join', 'compani', 'jan', 'know', 'happen']"
3142,"['boy', 'love', 'u', 'grl', 'hogolo', 'boy', 'gold', 'chain', 'kodstini', 'grl', 'agalla', 'boy', 'necklac', 'madstini', 'grl', 'agalla', 'boy', 'hogli', 'mutai', 'eerulli', 'kodthini', 'grl', 'love', 'u', 'kano']"
3143,"['haha', 'heard', 'text', 'around']"
3144,"['get', 'tomorrow', 'send']"
3145,"['babe', 'thasa', 'bit', 'mess']"
3146,"['oh', 'that', 'late', 'well', 'good', 'night', 'give', 'u', 'call', 'tomorrow', 'iam', 'go', 'go', 'sleep', 'night', 'night']"
3147,"['u', 'tex', 'mecaus', 'u', 'werebor', 'yeah', 'okden', 'hunni', 'r', 'uin', 'wk', 'sat', 'likeyour', 'havin', 'j', 'keep', 'updat', 'countinlot', 'lovem']"
3148,"['sorri', 'meet', 'call', 'later']"
3149,"['yo', 'howz', 'u', 'girl', 'never', 'rang', 'india', 'l']"
3150,"['yeah', 'wors']"
3151,"['hard', 'live', 'chat', 'choos', 'girl', 'connect', 'live', 'call', 'cheap', 'chat', 'uk', 'biggest', 'live', 'servic', 'vu']"
3152,"['tag', 'friend', 'seem', 'count', 'friend']"
3153,"['heard', 'call', 'rude', 'chat', 'privat', 'line', 'cum', 'wan', 'pic', 'gettin', 'shag', 'text', 'pix', 'send', 'stop', 'sam', 'xxx']"
3154,['ok']
3155,"['long', 'time', 'rememb', 'today']"
3156,"['havent', 'shop', 'lor', 'juz', 'arriv']"
3157,"['thank', 'better', 'work', 'caus', 'feel', 'use', 'otherwis']"
3158,"['challeng', 'know']"
3159,"['much', 'ur', 'hdd', 'case', 'cost']"
3160,"['mysteri', 'solv', 'open', 'email', 'sent', 'anoth', 'batch', 'sweeti']"
3161,"['ca', 'describ', 'lucki', 'actual', 'awak', 'noon']"
3162,"['time', 'tri', 'contact', 'u', 'prize', 'claim', 'call', 'sm']"
3163,"['today', 'sorri', 'ever', 'angri', 'ever', 'misbehav', 'hurt', 'plz', 'plz', 'slap', 'urself', 'bcoz', 'ur', 'fault', 'basic', 'good']"
3164,"['cheer', 'card', 'time', 'year', 'alreadi']"
3165,"['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'k']"
3166,"['peopl', 'see', 'msg', 'think', 'iam', 'addict', 'msging', 'wrong', 'bcoz', 'know', 'iam', 'addict', 'sweet', 'friend', 'bslvyl']"
3167,"['ugh', 'hope', 'asu', 'ppl', 'dont', 'randomli', 'reformat']"
3168,"['seen', 'facebook', 'huh', 'lol']"
3169,"['mah', 'b', 'pick', 'tomorrow']"
3170,"['still', 'otsid', 'le', 'u', 'come', 'maga']"
3171,"['u', 'still', 'plumber', 'tape', 'wrench', 'could', 'borrow']"
3172,"['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'pleas', 'go', 'ts', 'cs', 'appli']"
3173,"['vl', 'bcum', 'difficult']"
3174,"['ur', 'go', 'bahama', 'callfreefon', 'speak', 'live', 'oper', 'claim', 'either', 'bahama', 'cruis', 'cash', 'opt', 'txt', 'x']"
3175,"['havent', 'still', 'waitin', 'usual', 'come', 'back', 'sch', 'oredi']"
3176,"['meet', 'da', 'call']"
3177,"['k', 'k', 'watch', 'film']"
3178,"['cinema', 'plu', 'drink', 'appeal', 'tomo', 'fr', 'thriller', 'director', 'like', 'mac']"
3179,"['size', 'eleph', 'tablet', 'u', 'shove', 'um', 'ur', 'ass']"
3180,"['mani', 'peopl', 'seem', 'special', 'first', 'sight', 'remain', 'special', 'till', 'last', 'sight', 'maintain', 'till', 'life', 'end', 'take', 'cr', 'da']"
3181,"['parent', 'kidz', 'friend', 'n', 'colleagu', 'scream', 'surpris', 'wait', 'sofa', 'nake']"
3182,"['dunno', 'juz', 'askin', 'co', 'got', 'card', 'got', 'salon', 'call', 'hair', 'sens', 'tot', 'da', 'one', 'cut', 'ur', 'hair']"
3183,"['good', 'morn', 'pooki', 'pie', 'lol', 'hope', 'wake', 'u']"
3184,"['mayb', 'woke', 'fuck', 'would', 'problem']"
3185,"['happi', 'birthday', 'lot', 'nri']"
3186,"['howz', 'person', 'stori']"
3187,"['time', 'tri', 'contact', 'u', 'pound', 'prize', 'claim', 'easi', 'call', 'per', 'min']"
3188,"['lt', 'gt', 'go', 'get']"
3189,"['hi', 'neva', 'worri', 'bout', 'da', 'truth', 'coz', 'truth', 'lead', 'ur', 'heart', 'least', 'uniqu', 'person', 'like', 'u', 'deserv', 'sleep', 'tight', 'morn']"
3190,"['ur', 'award', 'citi', 'break', 'could', 'win', 'summer', 'shop', 'spree', 'everi', 'wk', 'txt', 'store']"
3191,"['ur', 'paper', 'today', 'e', 'morn', 'aft']"
3192,"['lick', 'everi', 'drop', 'readi', 'use', 'mouth', 'well']"
3193,"['expect', 'whenev', 'text', 'hope', 'goe', 'well', 'tomo']"
3194,"['great', 'p', 'diddi', 'neighbor', 'come', 'toothpast', 'everi', 'morn']"
3195,"['av', 'new', 'number', 'wil', 'u', 'use', 'one', 'ta']"
3196,"['poke', 'man', 'everyday', 'teach', 'canada', 'abi', 'say', 'hi']"
3197,"['lor', 'chang', 'suntec', 'wat', 'time', 'u', 'come']"
3198,"['see', 'onlin', 'shop', 'ask']"
3199,"['curiou', 'cuz', 'ask']"
3200,['work']
3201,"['okay', 'lor', 'wah', 'like', 'def', 'wont', 'let', 'us', 'go', 'haha', 'say', 'term', 'condit']"
3202,"['haha', 'yup', 'hope', 'lose', 'kg', 'mon', 'hip', 'hop', 'go', 'orchard', 'weigh']"
3203,"['good', 'r', 'u', 'work']"
3204,"['oh', 'ye', 'littl', 'weather', 'kind', 'coccoon', 'home']"
3205,"['home', 'also']"
3206,"['phone', 'weirdest', 'auto', 'correct']"
3207,"['oop', 'phone', 'die', 'even', 'know', 'yeah', 'like', 'better']"
3208,"['havent', 'mu', 'ask', 'u', 'wat', 'meet', 'lunch', 'den', 'u', 'n', 'meet', 'alreadi', 'lor', 'u', 'wan', 'go', 'ask', 'da', 'ge', 'confirm', 'w', 'asap']"
3209,"['said', 'u', 'mind', 'go', 'bedroom', 'minut', 'sed', 'sexi', 'mood', 'came', 'minut', 'latr', 'wid', 'cake', 'n', 'wife']"
3210,"['oh', 'yeah', 'hav', 'great', 'time', 'postcard', 'look', 'girl', 'im', 'gone', 'u', 'know', 'talkin', 'bout', 'xx']"
3211,"['got', 'divorc', 'lol']"
3212,"['ur', 'pin']"
3213,"['babe', 'got', 'enough', 'money', 'pick', 'bread', 'milk', 'give', 'back', 'get', 'home']"
3214,"['want', 'snow', 'freez', 'windi']"
3215,"['urgent', 'tri', 'contact', 'today', 'draw', 'show', 'prize', 'guarante', 'call', 'land', 'line', 'claim', 'valid']"
3216,"['come', 'mahal', 'bu', 'stop', 'lt', 'decim', 'gt']"
3217,"['know', 'week', 'go', 'tirunelvai', 'da']"
3218,"['babi', 'promis', 'treat', 'well', 'bet', 'take', 'good', 'care']"
3219,"['like', 'hotel', 'dusk', 'game', 'think', 'solv', 'puzzl', 'area', 'thing']"
3220,"['thank', 'rington', 'order', 'refer', 'number', 'mobil', 'charg', 'tone', 'arriv', 'pleas', 'call', 'custom', 'servic']"
3221,"['hi', 'love', 'goe', 'day', 'fuck', 'morn', 'woke', 'drop', 'cell', 'way', 'stair', 'seem', 'alright', 'phew', 'miss']"
3222,"['well', 'must', 'pain', 'catch']"
3223,"['sorri', 'da', 'mistak']"
3224,"['need', 'coz', 'never', 'go']"
3225,"['rose', 'red', 'red', 'blood', 'blood', 'heart', 'heart', 'u', 'send', 'ti', 'ur', 'friend', 'includ', 'u', 'like', 'u', 'get', 'back', 'r', 'poor', 'relat', 'need', 'support', 'r', 'frnd', 'mani', 'luv', 'u', 'pray', 'god', 'marri', 'tri']"
3226,"['knew', 'time', 'murder', 'exactli']"
3227,"['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'send', 'cost', 'tsandc', 'appli', 'repli', 'hl', 'info']"
3228,"['ur', 'current', 'pound', 'maxim', 'ur', 'send', 'collect', 'cc', 'po', 'box']"
3229,"['feel', 'like', 'dick', 'keep', 'sleep', 'text', 'facebook', 'messag', 'sup', 'town']"
3230,"['plm', 'come', 'da', 'way']"
3231,"['guess', 'want', 'alon', 'time', 'could', 'show', 'watch']"
3232,"['height', 'recycl', 'read', 'peopl', 'spend', 'time', 'earn', 'money', 'money', 'spent', 'spend', 'time', 'good', 'morn', 'keep', 'smile']"
3233,"['yup', 'comin']"
3234,"['ye', 'princess', 'toledo']"
3235,"['aight', 'text', 'back', 'mu', 'swing', 'need', 'somebodi', 'get', 'door']"
3236,"['ron', 'say', 'fri', 'leh', 'n', 'said', 'ding', 'tai', 'feng', 'cant', 'make', 'reserv', 'said', 'wait', 'lor']"
3237,"['good', 'swimsuit', 'allow']"
3238,"['okay', 'soon', 'best']"
3239,"['cute', 'thought', 'friendship', 'necessari', 'share', 'everi', 'secret', 'ur', 'close', 'frnd']"
3240,"['ok', 'sent', 'u', 'da', 'latest', 'version', 'da', 'project']"
3241,"['good', 'morn', 'dear', 'great', 'amp', 'success', 'day']"
3242,"['pl', 'accept', 'one', 'day', 'beg', 'chang', 'number']"
3243,"['squeeeeez', 'christma', 'hug', 'u', 'lik', 'frndshp', 'den', 'hug', 'back', 'u', 'get', 'u', 'r', 'cute', 'u', 'r', 'luvd', 'u', 'r', 'lucki', 'none', 'peopl', 'hate', 'u']"
3244,"['ok', 'anybodi', 'ask', 'abt', 'u', 'tel']"
3245,"['funni', 'fact', 'nobodi', 'teach', 'volcano', 'erupt', 'tsunami', 'aris', 'hurrican', 'sway', 'aroundn', 'teach', 'hw', 'choos', 'wife', 'natur', 'disast', 'happen']"
3246,"['gon', 'na', 'ring', 'weekend', 'wot']"
3247,"['also', 'track', 'lighter', 'find']"
3248,"['sorri', 'ca', 'help']"
3249,"['babe', 'need', 'advic']"
3250,"['leav', 'around', 'four', 'ok']"
3251,"['come', 'medic', 'colleg', 'forward', 'da']"
3252,"['k', 'k', 'good', 'go']"
3253,"['make', 'lasagna', 'vodka']"
3254,"['hi', 'kate', 'u', 'give', 'ring', 'asap', 'xxx']"
3255,"['peopl', 'tour', 'thought', 'sofa', 'thing', 'sent', 'curiou', 'sugar']"
3256,"['told', 'go', 'got', 'drunk']"
3257,"['fuck', 'chicken', 'messag', 'would', 'late', 'woould', 'buzz', 'hear', 'word']"
3258,"['congratul', 'thank', 'good', 'friend', 'u', 'xma', 'prize', 'claim', 'easi', 'call', 'per', 'minut']"
3259,"['alway', 'look', 'excus', 'citi']"
3260,"['yup', 'still', 'coffe', 'wif', 'fren', 'fren', 'drove', 'give', 'lift']"
3261,"['shore', 'takin', 'bu']"
3262,"['u', 'gon', 'na', 'get', 'deu', 'ex']"
3263,"['send', 'email', 'mind', 'lt', 'gt', 'time', 'per', 'night']"
3264,"['want', 'new', 'nokia', 'colour', 'phone', 'deliveredtomorrow', 'free', 'minut', 'mobil', 'free', 'text', 'free', 'camcord', 'repli', 'call']"
3265,"['tap', 'spile', 'seven', 'pub', 'ga', 'st', 'broad', 'st', 'canal', 'ok']"
3266,"['ok', 'come', 'n', 'pick', 'u', 'engin']"
3267,"['never', 'want', 'tell', 'short', 'late']"
3268,"['raviyog', 'peripher', 'bhayandar', 'east']"
3269,"['k', 'actual', 'guy', 'meet', 'sunoco', 'howard', 'right', 'way']"
3270,"['new', 'voicemail', 'pleas', 'call']"
3271,"['moon', 'come', 'color', 'dream', 'star', 'make', 'music', 'sm', 'give', 'warm', 'peac', 'sleep', 'good', 'night']"
3272,"['finish', 'eat', 'got', 'u', 'plate', 'leftov', 'time']"
3273,"['thanx', 'lot']"
3274,"['hurri', 'home', 'u', 'big', 'butt', 'hang', 'last', 'caller', 'u', 'food', 'done', 'starv', 'ask', 'cook']"
3275,"['lol', 'right', 'diet', 'everyday', 'cheat', 'anyway', 'meant', 'fatti']"
3276,"['great', 'day', 'beauti', 'one']"
3277,"['happen', 'interview']"
3278,"['solv', 'case', 'man', 'found', 'murder', 'lt', 'decim', 'gt', 'lt', 'gt', 'afternoon', 'wife', 'call', 'polic', 'polic', 'question', 'everyon', 'wife', 'sir', 'sleep', 'murder', 'took', 'place', 'cook', 'pick', 'veget', 'went', 'post', 'offic', 'went', 'play', 'went', 'marriag', 'polic', 'arrest', 'murder', 'immedi', 'repli', 'reason', 'u', 'r', 'brilliant']"
3279,"['badrith', 'chennai', 'sure', 'pick', 'us', 'competit']"
3280,"['tot', 'group', 'mate', 'lucki', 'havent', 'repli', 'wat', 'time', 'need', 'leav']"
3281,"['hey', 'around', 'got', 'enough', 'half', 'ten', 'owe']"
3282,"['hey', 'tmr', 'mayb', 'meet', 'yck']"
3283,"['alrit', 'sam', 'nic', 'checkin', 'ur']"
3284,"['make', 'easi', 'pay', 'back', 'lt', 'gt', 'yr', 'say', 'pay', 'back', 'earlier', 'get']"
3285,"['worri', 'sure', 'get']"
3286,"['ga', 'station', 'like', 'block', 'away', 'hous', 'drive', 'right', 'sinc', 'armenia', 'end', 'swann', 'take', 'howard']"
3287,"['someon', 'u', 'know', 'ask', 'date', 'servic', 'contact', 'cant', 'guess', 'call', 'reveal', 'pobox']"
3288,"['camera', 'award', 'sipix', 'digit', 'camera', 'call', 'fromm', 'landlin', 'deliveri', 'within', 'day']"
3289,"['tuition', 'hm', 'go', 'one', 'mind']"
3290,"['smoke', 'peopl', 'use', 'smoke', 'justifi', 'ruin', 'shit']"
3291,"['dear', 'good', 'morn', 'feel', 'dear']"
3292,"['littl', 'med', 'say', 'take', 'everi', 'hour', 'pain', 'back', 'took', 'anoth', 'hope', 'die']"
3293,"['beauti', 'tomorrow', 'never', 'come', 'come', 'alreadi', 'today', 'hunt', 'beauti', 'tomorrow', 'wast', 'wonder', 'today', 'goodmorn']"
3294,"['dunno', 'lei', 'decid', 'lor', 'abt', 'leona', 'oop', 'tot', 'ben', 'go', 'n', 'msg']"
3295,"['hi', 'move', 'pub', 'would', 'great', 'c', 'u', 'u', 'cud', 'come']"
3296,"['today', 'voda', 'number', 'end', 'select', 'receiv', 'award', 'hava', 'match', 'pleas', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']"
3297,"['messag', 'free', 'welcom', 'new', 'improv', 'sex', 'dog', 'club', 'unsubscrib', 'servic', 'repli', 'stop', 'msg']"
3298,"['honeybe', 'said', 'sweetest', 'world', 'god', 'laugh', 'amp', 'said', 'wait', 'u', 'havnt', 'met', 'person', 'read', 'msg', 'moral', 'even', 'god', 'crack', 'joke']"
3299,"['ever', 'easier']"
3300,"['rct', 'thnq', 'adrian', 'u', 'text', 'rgd', 'vatian']"
3301,"['stop', 'call', 'everyon', 'say', 'might', 'cancer', 'throat', 'hurt', 'talk', 'ca', 'answer', 'everyon', 'call', 'get', 'one', 'call', 'babysit', 'monday']"
3302,['tough']
3303,"['im', 'gonnamissu', 'much', 'would', 'say', 'il', 'send', 'u', 'postcard', 'butther', 'abouta', 'much', 'chanc', 'merememberin', 'asther', 'ofsi', 'breakin', 'contract', 'luv', 'yaxx']"
3304,"['ee', 'msg', 'na', 'poortiyagi', 'odalebeku', 'hanumanji', 'name', 'ee', 'name', 'lt', 'gt', 'janarig', 'ivatt', 'kalisidar', 'next', 'saturday', 'olag', 'ondu', 'good', 'news', 'keluviri', 'maretar', 'ind', 'dodda', 'problum', 'nalli', 'siguviri', 'idu', 'matra', 'lt', 'gt', 'true', 'neglet']"
3305,"['hi', 'darlin', 'finish', 'u', 'pick', 'meet', 'text', 'back', 'number', 'luv', 'kate', 'xxx']"
3306,"['set', 'place', 'heart', 'mind', 'mind', 'easili', 'forget', 'heart', 'alway', 'rememb', 'wish', 'happi', 'valentin', 'day']"
3307,"['surpris', 'still', 'guess', 'right', 'lor']"
3308,"['oki', 'wan', 'meet', 'bishan', 'co', 'bishan', 'drive', 'today']"
3309,"['oh', 'ho', 'first', 'time', 'u', 'use', 'type', 'word']"
3310,"['hi', 'darlin', 'work', 'u', 'get', 'troubl', 'ijust', 'talk', 'mum', 'morn', 'realli', 'good', 'time', 'last', 'night', 'im', 'goin', 'soon', 'call', 'u']"
3311,"['know', 'serv', 'mean']"
3312,"['huh', 'hyde', 'park', 'mel', 'ah', 'opp', 'got', 'confus', 'anyway', 'tt', 'e', 'best', 'choic', 'den', 'juz', 'take']"
3313,"['oh', 'gei', 'happend', 'tron', 'mayb', 'ill', 'dl']"
3314,"['free', 'messag', 'activ', 'free', 'text', 'messag', 'repli', 'messag', 'word', 'free', 'term', 'condit', 'visit']"
3315,"['know', 'girl', 'alway', 'safe', 'selfish', 'know', 'got', 'thank', 'good', 'night']"
3316,"['worri', 'hope', 'photo', 'shoot', 'went', 'well', 'spif', 'fun', 'workag']"
3317,"['freez', 'crave', 'ice', 'fml']"
3318,"['kay', 'sinc', 'alreadi']"
3319,"['eh', 'sorri', 'leh', 'din', 'c', 'ur', 'msg', 'sad', 'alreadi', 'lar', 'watch', 'tv', 'u', 'still', 'offic']"
3320,"['yo', 'im', 'right', 'yo', 'work']"
3321,"['ok', 'darlin', 'supos', 'ok', 'worri', 'film', 'stuff', 'mate', 'babysit', 'call']"
3322,"['said', 'u', 'mind', 'go', 'bedroom', 'minut', 'sed', 'sexi', 'mood', 'came', 'minut', 'latr', 'wid', 'cake', 'n', 'wife']"
3323,"['wake', 'sinc', 'check', 'stuff', 'saw', 'true', 'avail', 'space', 'pl', 'call', 'embassi', 'send', 'mail']"
3324,"['nope', 'juz', 'work']"
3325,"['huh', 'fast', 'dat', 'mean', 'u', 'havent', 'finish', 'paint']"
3326,"['number', 'u', 'live']"
3327,"['put', 'parti', 'day', 'week', 'studi', 'lightli', 'think', 'need', 'draw', 'custom', 'checkbox', 'know', 'hardcor']"
3328,"['sac', 'score', 'big', 'set', 'batsman']"
3329,"['send', 'yetti', 'number', 'pl']"
3330,"['much', 'cost', 'approx', 'per', 'month']"
3331,"['ok', 'theori', 'test', 'go', 'book', 'think', 'may', 'coz', 'thought', 'wan', 'na', 'go', 'jiayin', 'isnt', 'free']"
3332,"['contact', 'date', 'servic', 'someon', 'know', 'find', 'call', 'land', 'line']"
3333,"['fine', 'give', 'call', 'know', 'want', 'question']"
3334,"['sorri', 'got', 'late', 'start', 'way']"
3335,"['u', 'go', 'back', 'urself', 'lor']"
3336,"['ga', 'station', 'go']"
3337,"['k', 'u', 'bore', 'come', 'home']"
3338,"['babe', 'love', 'cover', 'face', 'kiss']"
3339,"['like', 'made', 'throw', 'smoke', 'friend', 'car', 'one', 'time', 'awesom']"
3340,"['still', 'check', 'da']"
3341,"['go', 'walmart', 'stay']"
3342,"['forgotten', 'might', 'coupl', 'buck', 'send', 'tomorrow', 'k', 'love', 'ya']"
3343,"['oh', 'great', 'disturb', 'talk']"
3344,"['revers', 'cheat', 'mathemat']"
3345,"['u', 'welcom', 'caught', 'u', 'use', 'broken', 'english']"
3346,"['problem', 'babi', 'good', 'time', 'talk', 'call', 'left', 'messag']"
3347,"['sorri', 'call', 'later']"
3348,"['oh', 'brand']"
3349,"['sorri', 'cant', 'take', 'call', 'right', 'happen', 'r', 'wat', 'want', 'come', 'ill', 'get', 'medic', 'insur', 'abl', 'deliv', 'basic', 'care', 'current', 'shop', 'right', 'medic', 'insur', 'give', 'til', 'friday', 'morn', 'that', 'see', 'major', 'person', 'guid', 'right', 'insur']"
3350,"['time', 'come']"
3351,"['call', 'say', 'come', 'today', 'ok', 'tell', 'fool', 'like', 'ok']"
3352,"['email', 'yifeng', 'part', 'oredi', 'get', 'fr']"
3353,"['r', 'u', 'sure', 'understand', 'wine', 'good', 'idea', 'slurp']"
3354,"['minimum', 'walk', 'day']"
3355,"['ok', 'problem', 'get', 'taxi', 'c', 'ing', 'tomorrow', 'tuesday', 'tuesday', 'think', 'r', 'go', 'cinema']"
3356,"['brainless', 'babi', 'doll', 'vehicl', 'sariyag', 'drive', 'madok', 'barolla']"
3357,"['run', 'away', 'frm', 'u', 'walk', 'slowli', 'amp', 'kill', 'u', 'care', 'enough', 'stop']"
3358,"['sorri', 'miss', 'call', 'let', 'talk', 'time']"
3359,"['pleas', 'attend', 'phone']"
3360,"['hate', 'call', 'didnt', 'accept', 'even', 'singl', 'call', 'mine', 'even', 'messag']"
3361,"['messag', 'phone', 'hold']"
3362,['free']
3363,"['yo', 'trip', 'got', 'postpon', 'still', 'stock']"
3364,"['sorri', 'call', 'later']"
3365,"['wait', 'call', 'sir']"
3366,"['hey', 'repli', 'pa']"
3367,"['hey', 'elain', 'today', 'meet', 'still']"
3368,"['sorri', 'gone', 'place', 'tomorrow', 'realli', 'sorri']"
3369,"['tiim', 'let', 'hug', 'break', 'tear']"
3370,"['tomorrow', 'go', 'theatr', 'come', 'wherev', 'u', 'call', 'tell', 'come', 'tomorrow']"
3371,"['electr', 'went', 'fml']"
3372,"['look', 'like', 'found', 'someth', 'smoke', 'great', 'job']"
3373,"['also', 'andro', 'ice', 'etc', 'etc']"
3374,[]
3375,"['good', 'afternon', 'love', 'today', 'hope', 'good', 'mayb', 'interview', 'wake', 'miss', 'babe', 'passion', 'kiss', 'across', 'sea']"
3376,"['yup', 'wun', 'believ', 'wat', 'u', 'realli', 'neva', 'c', 'e', 'msg', 'sent', 'shuhui']"
3377,"['how', 'watch', 'resiz']"
3378,"['dear', 'umma', 'call']"
3379,"['finish', 'miss', 'plenti']"
3380,"['complimentari', 'star', 'ibiza', 'holiday', 'cash', 'need', 'urgent', 'collect', 'landlin', 'lose']"
3381,"['well', 'meant', 'oppos', 'drunken', 'night']"
3382,"['k', 'must', 'book', 'huh', 'go', 'yoga', 'basic', 'sunday']"
3383,"['free', 'msg', 'bill', 'mobil', 'number', 'mistak', 'shortcod', 'call', 'charg', 'call', 'free', 'bt', 'landlin']"
3384,['ok']
3385,"['oop', 'mum', 'somerset', 'bit', 'far', 'back', 'tomo', 'see', 'soon', 'x']"
3386,"['u', 'workin', 'overtim', 'nigpun']"
3387,"['kalli', 'dismissi', 'test']"
3388,"['guess', 'got', 'screwd']"
3389,"['pleas', 'call', 'immedi', 'urgent', 'messag', 'wait']"
3390,"['meet', 'call', 'later']"
3391,"['r', 'u', 'cook', 'dinner']"
3392,"['ok', 'thanx']"
3393,"['bull', 'plan', 'go', 'float', 'ikea', 'without', 'care', 'world', 'live', 'mess', 'anoth', 'day']"
3394,['buy']
3395,"['urgent', 'mobil', 'number', 'award', 'bonu', 'caller', 'prize', 'call', 'land', 'line', 'valid']"
3396,"['heehe', 'funni', 'tho']"
3397,"['simpl', 'arithmet', 'percentag']"
3398,"['yeah', 'would', 'leav', 'hour', 'least', 'sound']"
3399,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', 'bonu', 'prize', 'call']"
3400,"['thank', 'honey', 'great', 'day']"
3401,"['amaz', 'quot', 'life', 'difficult', 'decid', 'what', 'wrong', 'lie', 'bring', 'smile', 'truth', 'bring', 'tear']"
3402,"['good', 'night', 'dear', 'sleepwel', 'amp', 'take', 'care']"
3403,"['ask', 'dad', 'pick', 'lar', 'wan', 'stay', 'meh']"
3404,"['ju', 'chillaxin']"
3405,"['da', 'cool', 'iknow', 'wellda', 'peril', 'studentfinanci', 'crisi', 'spk', 'u']"
3406,"['beauti', 'truth', 'graviti', 'read', 'care', 'heart', 'feel', 'light', 'someon', 'feel', 'heavi', 'someon', 'leav', 'goodmorn']"
3407,"['want', 'new', 'nokia', 'colour', 'phone', 'deliveredtomorrow', 'free', 'minut', 'mobil', 'free', 'text', 'free', 'camcord', 'repli', 'call']"
3408,"['what', 'come', 'hill', 'monster', 'hope', 'great', 'day', 'thing', 'r', 'go', 'fine', 'busi', 'though']"
3409,"['joy', 'father', 'john', 'john', 'joy', 'father', 'u', 'an', 'th', 'hav', 'lt', 'gt', 'iq', 'ti', 'ia', 'question', 'tri', 'answer']"
3410,"['ill', 'obey']"
3411,"['didnt', 'search', 'onlin', 'let', 'know']"
3412,"['need', 'go', 'get']"
3413,"['pic', 'pleas']"
3414,"['remain', 'bro', 'amongst', 'bro']"
3415,"['uhhhhrmm', 'isnt', 'tb', 'test', 'bad', 'your', 'sick']"
3416,"['haf', 'enuff', 'space', 'got', 'like', 'mb']"
3417,"['life', 'never', 'much', 'fun', 'great', 'came', 'made', 'truli', 'special', 'wo', 'forget', 'enjoy', 'one']"
3418,"['want', 'new', 'video', 'phone', 'anytim', 'network', 'min', 'inclus', 'video', 'call', 'download', 'per', 'week', 'free', 'deltomorrow', 'call', 'repli']"
3419,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', 'bonu', 'prize', 'call']"
3420,"['welcom', 'pleas', 'repli', 'age', 'gender', 'begin']"
3421,"['freemsg', 'unlimit', 'free', 'call', 'activ', 'smartcal', 'txt', 'call', 'unlimit', 'call', 'help', 'stop', 'txt', 'stop', 'landlineonli']"
3422,"['mobil', 'mth', 'updat', 'latest', 'orang', 'phone', 'free', 'save', 'free', 'call', 'text', 'ye', 'callback', 'orno', 'opt']"
3423,"['new', 'club', 'dont', 'fink', 'met', 'yet', 'b', 'c', 'u', 'pleas', 'leav', 'msg', 'wiv', 'ur', 'area', 'repli', 'promis', 'carli', 'x']"
3424,"['true', 'easier']"
3425,"['sure', 'sinc', 'parent', 'work', 'tuesday', 'realli', 'need', 'cover', 'stori']"
3426,"['haha', 'okay', 'today', 'weekend', 'leh']"
3427,"['darlin', 'youphon', 'im', 'athom', 'youwanna']"
3428,"['know', 'jack', 'shit', 'anyth', 'someth', 'help', 'want', 'pretend', 'text', 'whatev', 'respons', 'hypotheticalhuagauahahuagahyuhagga']"
3429,"['alway', 'braini', 'one']"
3430,"['yeah', 'get', 'random', 'dude', 'need', 'chang', 'info', 'sheet', 'parti', 'lt', 'gt', 'never', 'studi', 'safe']"
3431,"['camera', 'award', 'sipix', 'digit', 'camera', 'call', 'fromm', 'landlin', 'deliveri', 'within', 'day']"
3432,"['christma', 'occas', 'celebr', 'reflect', 'ur', 'valu', 'desir', 'affect', 'amp', 'tradit', 'ideal', 'christma']"
3433,"['send', 'greet', 'joy', 'happi', 'even']"
3434,"['darlin', 'cantdo', 'anythingtomorrow', 'mypar', 'aretak', 'outfor', 'meal', 'u', 'free']"
3435,"['india', 'win', 'level', 'seri', 'mean', 'record']"
3436,['plan']
3437,"['good', 'hear']"
3438,"['awesom', 'deal', 'gate', 'charl', 'told', 'last', 'night', 'uh', 'yeah']"
3439,"['time', 'thinkin', 'goin']"
3440,"['get', 'free', 'mobil', 'video', 'player', 'free', 'movi', 'collect', 'text', 'go', 'free', 'extra', 'film', 'order', 'c', 'appli', 'yr']"
3441,"['save', 'money', 'wed', 'lingeri', 'choos', 'superb', 'select', 'nation', 'deliveri', 'brought', 'weddingfriend']"
3442,"['board', 'work', 'fine', 'issu', 'overh', 'also', 'reslov', 'still', 'softwar', 'inst', 'pend', 'come', 'around', 'clock']"
3443,"['ye', 'care', 'caus', 'know']"
3444,"['wiskey', 'brandi', 'rum', 'gin', 'beer', 'vodka', 'scotch', 'shampain', 'wine', 'yarasu', 'dhina', 'vaazhthukk']"
3445,"['mon', 'oki', 'lor', 'haha', 'best', 'cheap', 'n', 'gd', 'food', 'la', 'ex', 'oso', 'oki', 'depend', 'whether', 'wana', 'eat', 'western', 'chines', 'food', 'den', 'u', 'prefer']"
